Entity,Code,Year,UHC Service Coverage Index (SDG 3.8.1)
Afghanistan,AFG,2000,22.60528
Afghanistan,AFG,2005,27.51268
Afghanistan,AFG,2010,29.43584
Afghanistan,AFG,2015,35.57227
Afghanistan,AFG,2017,40.55108
Afghanistan,AFG,2019,41.72071
Afghanistan,AFG,2021,40.88461
Africa (WHO),WHO_AFR,2000,23.42367
Africa (WHO),WHO_AFR,2005,27.50991
Africa (WHO),WHO_AFR,2010,36.21727
Africa (WHO),WHO_AFR,2015,42.14298
Africa (WHO),WHO_AFR,2017,43.70033
Africa (WHO),WHO_AFR,2019,44.60498
Africa (WHO),WHO_AFR,2021,44.38966
Albania,ALB,2000,42.62449
Albania,ALB,2005,51.897
Albania,ALB,2010,57.38092
Albania,ALB,2015,60.99557
Albania,ALB,2017,61.48473
Albania,ALB,2019,63.57093
Albania,ALB,2021,63.76895
Algeria,DZA,2000,56.41185
Algeria,DZA,2005,61.09153
Algeria,DZA,2010,67.18185
Algeria,DZA,2015,73.80888
Algeria,DZA,2017,74.04772
Algeria,DZA,2019,74.34503
Algeria,DZA,2021,74.11164
Americas (WHO),WHO_AMR,2000,65.6727
Americas (WHO),WHO_AMR,2005,71.15553
Americas (WHO),WHO_AMR,2010,75.05061
Americas (WHO),WHO_AMR,2015,79.93107
Americas (WHO),WHO_AMR,2017,80.56015
Americas (WHO),WHO_AMR,2019,80.24675
Americas (WHO),WHO_AMR,2021,80.01545
Andorra,AND,2000,67.36547
Andorra,AND,2005,71.49519
Andorra,AND,2010,74.17595
Andorra,AND,2015,74.73157
Andorra,AND,2017,75.51331
Andorra,AND,2019,78.05398
Andorra,AND,2021,78.86248
Angola,AGO,2000,20.51539
Angola,AGO,2005,23.65722
Angola,AGO,2010,31.21417
Angola,AGO,2015,35.5978
Angola,AGO,2017,39.84338
Angola,AGO,2019,39.35772
Angola,AGO,2021,36.72917
Antigua and Barbuda,ATG,2000,54.0169
Antigua and Barbuda,ATG,2005,66.66954
Antigua and Barbuda,ATG,2010,72.94039
Antigua and Barbuda,ATG,2015,77.60541
Antigua and Barbuda,ATG,2017,76.52543
Antigua and Barbuda,ATG,2019,74.56584
Antigua and Barbuda,ATG,2021,75.79523
Argentina,ARG,2000,68.04714
Argentina,ARG,2005,73.82919
Argentina,ARG,2010,76.45497
Argentina,ARG,2015,80
Argentina,ARG,2017,78.63055
Argentina,ARG,2019,77.99396
Argentina,ARG,2021,78.52537
Armenia,ARM,2000,44.32031
Armenia,ARM,2005,51.33242
Armenia,ARM,2010,60.0615
Armenia,ARM,2015,67.16526
Armenia,ARM,2017,69.47808
Armenia,ARM,2019,70.22999
Armenia,ARM,2021,68.19311
Australia,AUS,2000,80
Australia,AUS,2005,80
Australia,AUS,2010,80
Australia,AUS,2015,80
Australia,AUS,2017,80
Australia,AUS,2019,80
Australia,AUS,2021,80
Austria,AUT,2000,69.85424
Austria,AUT,2005,77.39629
Austria,AUT,2010,80
Austria,AUT,2015,80
Austria,AUT,2017,80
Austria,AUT,2019,80
Austria,AUT,2021,80
Azerbaijan,AZE,2000,42.03552
Azerbaijan,AZE,2005,37.80304
Azerbaijan,AZE,2010,50.51886
Azerbaijan,AZE,2015,61.51084
Azerbaijan,AZE,2017,64.13299
Azerbaijan,AZE,2019,66.51683
Azerbaijan,AZE,2021,65.65727
Bahamas,BHS,2000,53.83782
Bahamas,BHS,2005,71.09119
Bahamas,BHS,2010,73.1485
Bahamas,BHS,2015,76.77241
Bahamas,BHS,2017,78.73966
Bahamas,BHS,2019,78.75336
Bahamas,BHS,2021,77.19485
Bahrain,BHR,2000,59.81269
Bahrain,BHR,2005,63.71456
Bahrain,BHR,2010,67.50298
Bahrain,BHR,2015,72.94302
Bahrain,BHR,2017,73.57151
Bahrain,BHR,2019,76.2429
Bahrain,BHR,2021,76.03581
Bangladesh,BGD,2000,23.38344
Bangladesh,BGD,2005,27.39814
Bangladesh,BGD,2010,36.57942
Bangladesh,BGD,2015,45.1692
Bangladesh,BGD,2017,48.07839
Bangladesh,BGD,2019,49.9642
Bangladesh,BGD,2021,51.61948
Barbados,BRB,2000,54.19871
Barbados,BRB,2005,72.15047
Barbados,BRB,2010,74.77112
Barbados,BRB,2015,80
Barbados,BRB,2017,80
Barbados,BRB,2019,78.70071
Barbados,BRB,2021,76.92128
Belarus,BLR,2000,52.83664
Belarus,BLR,2005,59.20566
Belarus,BLR,2010,70.07163
Belarus,BLR,2015,75.65266
Belarus,BLR,2017,78.11448
Belarus,BLR,2019,80
Belarus,BLR,2021,78.56763
Belgium,BEL,2000,76.61296
Belgium,BEL,2005,80
Belgium,BEL,2010,80
Belgium,BEL,2015,80
Belgium,BEL,2017,80
Belgium,BEL,2019,80
Belgium,BEL,2021,80
Belize,BLZ,2000,47.28611
Belize,BLZ,2005,57.6748
Belize,BLZ,2010,64.03525
Belize,BLZ,2015,69.38981
Belize,BLZ,2017,68.14495
Belize,BLZ,2019,69.22544
Belize,BLZ,2021,67.60394
Benin,BEN,2000,20.65965
Benin,BEN,2005,22.10853
Benin,BEN,2010,33.211
Benin,BEN,2015,34.68574
Benin,BEN,2017,33.93094
Benin,BEN,2019,35.25361
Benin,BEN,2021,37.89256
Bhutan,BTN,2000,35.1624
Bhutan,BTN,2005,36.52815
Bhutan,BTN,2010,44.34076
Bhutan,BTN,2015,53.19759
Bhutan,BTN,2017,55.75522
Bhutan,BTN,2019,60.17197
Bhutan,BTN,2021,60.42171
Bolivia,BOL,2000,36.87305
Bolivia,BOL,2005,38.9781
Bolivia,BOL,2010,47.45756
Bolivia,BOL,2015,60.25314
Bolivia,BOL,2017,64.00739
Bolivia,BOL,2019,65.09212
Bolivia,BOL,2021,65.06229
Bosnia and Herzegovina,BIH,2000,44.36213
Bosnia and Herzegovina,BIH,2005,61.05249
Bosnia and Herzegovina,BIH,2010,62.398
Bosnia and Herzegovina,BIH,2015,68.02817
Bosnia and Herzegovina,BIH,2017,70.38882
Bosnia and Herzegovina,BIH,2019,67.23395
Bosnia and Herzegovina,BIH,2021,66.47112
Botswana,BWA,2000,35.46302
Botswana,BWA,2005,47.94382
Botswana,BWA,2010,53.79683
Botswana,BWA,2015,57.5769
Botswana,BWA,2017,57.97421
Botswana,BWA,2019,55.31324
Botswana,BWA,2021,55.17985
Brazil,BRA,2000,68.04693
Brazil,BRA,2005,73.40996
Brazil,BRA,2010,76.01514
Brazil,BRA,2015,80
Brazil,BRA,2017,80
Brazil,BRA,2019,80
Brazil,BRA,2021,80
Brunei,BRN,2000,49.39087
Brunei,BRN,2005,63.84196
Brunei,BRN,2010,69.67525
Brunei,BRN,2015,75.1149
Brunei,BRN,2017,77.67146
Brunei,BRN,2019,77.14001
Brunei,BRN,2021,78.34303
Bulgaria,BGR,2000,56.23362
Bulgaria,BGR,2005,60.81434
Bulgaria,BGR,2010,65.17148
Bulgaria,BGR,2015,70.32406
Bulgaria,BGR,2017,72.439
Bulgaria,BGR,2019,75.77181
Bulgaria,BGR,2021,73.4856
Burkina Faso,BFA,2000,15.4195
Burkina Faso,BFA,2005,21.31436
Burkina Faso,BFA,2010,29.88395
Burkina Faso,BFA,2015,35.48542
Burkina Faso,BFA,2017,37.68524
Burkina Faso,BFA,2019,38.0715
Burkina Faso,BFA,2021,39.60456
Burundi,BDI,2000,19.364
Burundi,BDI,2005,23.64375
Burundi,BDI,2010,33.46381
Burundi,BDI,2015,40.24527
Burundi,BDI,2017,39.70335
Burundi,BDI,2019,41.68614
Burundi,BDI,2021,41.46003
Cambodia,KHM,2000,23.90044
Cambodia,KHM,2005,37.24602
Cambodia,KHM,2010,50.46432
Cambodia,KHM,2015,55.90014
Cambodia,KHM,2017,59.67848
Cambodia,KHM,2019,58.29306
Cambodia,KHM,2021,57.98489
Cameroon,CMR,2000,22.3873
Cameroon,CMR,2005,28.42808
Cameroon,CMR,2010,32.96333
Cameroon,CMR,2015,41.93261
Cameroon,CMR,2017,43.17722
Cameroon,CMR,2019,42.63574
Cameroon,CMR,2021,43.87635
Canada,CAN,2000,73.74116
Canada,CAN,2005,79.43651
Canada,CAN,2010,80
Canada,CAN,2015,80
Canada,CAN,2017,80
Canada,CAN,2019,80
Canada,CAN,2021,80
Cape Verde,CPV,2000,43.10192
Cape Verde,CPV,2005,53.51265
Cape Verde,CPV,2010,62.6954
Cape Verde,CPV,2015,67.98614
Cape Verde,CPV,2017,69.55247
Cape Verde,CPV,2019,68.83315
Cape Verde,CPV,2021,71.17687
Central African Republic,CAF,2000,17.73278
Central African Republic,CAF,2005,18.914
Central African Republic,CAF,2010,26.01012
Central African Republic,CAF,2015,29.50684
Central African Republic,CAF,2017,30.2378
Central African Republic,CAF,2019,30.57638
Central African Republic,CAF,2021,32.26192
Chad,TCD,2000,14.5817
Chad,TCD,2005,15.59872
Chad,TCD,2010,22.26037
Chad,TCD,2015,26.83309
Chad,TCD,2017,28.16784
Chad,TCD,2019,26.63073
Chad,TCD,2021,29.40162
Chile,CHL,2000,65.02777
Chile,CHL,2005,73.63523
Chile,CHL,2010,76.76622
Chile,CHL,2015,79.48533
Chile,CHL,2017,80
Chile,CHL,2019,80
Chile,CHL,2021,80
China,CHN,2000,46.70368
China,CHN,2005,56.73541
China,CHN,2010,66.18852
China,CHN,2015,75.70291
China,CHN,2017,78.85642
China,CHN,2019,80
